Open,High,Low,Close,Volume,Returns,Tomorrow,Stock_Direction
41.26704979959302,41.37088250371692,41.02693713547528,41.14374923706055,9360400,-0.06302589723183871,41.25406646728516,1
41.22810767483842,41.33843130495372,41.12427498061816,41.25406646728516,8067200,0.2681263430539538,41.559078216552734,1
41.312474626821285,41.57854607410078,41.24108918172269,41.559078216552734,10633600,0.7393495366316172,41.66291427612305,1
41.58504283502366,41.79919920031568,41.5461021633396,41.66291427612305,33380500,0.24985169071665148,41.70833969116211,1
41.89005126762698,41.89005126762698,41.59152758185894,41.70833969116211,8827100,0.10903081512254609,41.72132873535156,1
41.85111778971233,41.89654445385211,41.63047540707201,41.72132873535156,8436600,0.03114255874396843,41.67588424682617,0
41.630457602114944,41.67588424682617,41.27353042857465,41.67588424682617,9957800,-0.1089238763550826,41.64992141723633,0
41.70183899219455,41.70183899219455,41.435765133883,41.64992141723633,8223000,-0.06229700955132644,41.90302658081055,1
41.62397571659037,41.90302658081055,41.57854906200262,41.90302658081055,7444700,0.607696617332576,41.8770751953125,0
41.98739638295635,42.00037825864086,41.68239162025892,41.8770751953125,8882000,-0.06193200734080362,41.95494079589844,1
42.000367446830616,42.01334436803969,41.84461963665365,41.95494079589844,8060700,0.18593848835615212,42.22101211547852,1
41.90951647778574,42.2794206420046,41.77323651740341,42.22101211547852,11742100,0.6341835181569389,42.25346755981445,1
42.25346755981445,42.50006871892367,42.05877904658352,42.25346755981445,23117600,0.07687036077477227,42.24698257446289,0
42.22751471062394,42.46762991728663,42.16911111910708,42.24698257446289,8803800,-0.015347818122579682,42.41569137573242,1
42.29887929922421,42.435159229961656,42.09770487067836,42.41569137573242,9453900,0.3993392923912875,42.01984024047852,0
42.38325349062782,42.38325349062782,42.01984024047852,42.01984024047852,9312500,-0.9332657854078552,41.90302658081055,0
42.20803624067145,42.34431620443469,41.87706778516984,41.90302658081055,10496600,-0.2779964392997547,41.77970886230469,0
41.974397285650014,42.00035607217154,41.74726409250199,41.77970886230469,9450400,-0.294293106174659,42.06525802612305,1
41.83163385711199,42.13664346393938,41.79269814598786,42.06525802612305,7812900,0.6834637473407401,42.117183685302734,1
42.14962846708381,42.16910127751338,41.89653639397454,42.117183685302734,8311600,0.12344072428474018,42.31186676025391,1
42.07824254903044,42.38325221096852,41.98738923923621,42.31186676025391,11939100,0.4622414366683314,42.681766510009766,1
42.42218848102145,42.681766510009766,42.33782116558007,42.681766510009766,10600600,0.874222240894662,42.441650390625,0
42.68176052890529,42.75963689736889,42.428668520314645,42.441650390625,8617600,-0.5625730587520361,42.38325119018555,0
42.266439087387184,42.47410449779161,42.18207671636267,42.38325119018555,8260100,-0.13759879717673007,42.324851989746094,0
42.33782891311678,42.50006768648984,42.23399867274793,42.324851989746094,9409400,-0.13778839234724893,42.13663864135742,0
42.30536828880594,42.30536828880594,42.03280348873293,42.13663864135742,8962600,-0.4446875524438232,42.27293014526367,1
42.104200451596576,42.292398003930266,42.0393059389966,42.27293014526367,6972700,0.32345129630837466,42.25346755981445,0
