Price,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,
2010-03-02,41.169700622558594,41.29949210605074,40.89714073523505,41.08533826252034,9014000
2010-03-03,41.14375305175781,41.37088633947315,41.02694093934216,41.26705362572226,9360400
2010-03-04,41.254066467285156,41.338431304953716,41.12427498061816,41.22810767483842,8067200
2010-03-05,41.55907440185547,41.57854225761656,41.241085396213556,41.312470834759694,10633600
2010-03-08,41.66291427612305,41.799199200315684,41.546102163339604,41.58504283502366,33380500
2010-03-09,41.708335876464844,41.89004743631015,41.59152377784545,41.89004743631015,8827100
2010-03-10,41.72132110595703,41.896536792416654,41.63046779429143,41.851110136583856,8436600
2010-03-11,41.67588806152344,41.67588806152344,41.27353420644347,41.6304614126542,9957800
2010-03-12,41.64992904663086,41.70184663109929,41.435772724048576,41.70184663109929,8223000
2010-03-15,41.90302276611328,41.90302276611328,41.57854527684459,41.623971927296864,7444700
2010-03-16,41.877071380615234,42.00037443271158,41.68238782329592,41.98739255820963,8882000
2010-03-17,41.95494079589844,42.01334436803969,41.844619636653654,42.000367446830616,8060700
2010-03-18,42.22102737426758,42.27943592190265,41.77325161436515,41.90953162399943,11742100
2010-03-19,42.25345993041992,42.500061045002205,42.058771452342455,42.25345993041992,23117600
2010-03-22,42.24696731567383,42.46761457880403,42.16909588844367,42.22749945886629,8803800
2010-03-23,42.41569900512695,42.435166862857905,42.09771244287603,42.29888690760751,9453900
2010-03-24,42.019832611083984,42.38324579524962,42.019832611083984,42.38324579524962,9312500
2010-03-25,41.90302276611328,42.34431234956404,41.87706397283576,42.208032398207216,10496600
2010-03-26,41.77970504760742,42.00035223732807,41.74726028076709,41.97439345317672,9450400
2010-03-29,42.06526565551758,42.13665110628112,41.79270572594809,41.83164144413401,7812900
2010-03-30,42.1171760559082,42.169093638714145,41.896528804549575,42.149620831812015,8311600
2010-03-31,42.31187057495117,42.38325603210166,41.98739302467966,42.07824634266492,11939100
2010-04-01,42.68177032470703,42.68177032470703,42.3378249495371,42.42219227251884,10600600
2010-04-05,42.441650390625,42.75963689736889,42.428668520314645,42.68176052890529,8617600
2010-04-06,42.383243560791016,42.47409685204261,42.18206912318149,42.26643147901996,8260100
2010-04-07,42.32484436035156,42.50006002551128,42.23399105973044,42.33782128138306,9409400
2010-04-08,42.13664245605469,42.305372118778564,42.03280729402982,42.305372118778564,8962600
2010-04-09,42.272926330566406,42.292394187476226,42.03930214538152,42.10419665212543,6972700
2010-04-12,42.25345993041992,42.31835443940119,42.136647833800176,42.25345993041992,8692200
2010-04-13,42.62336730957031,42.7336884783164,42.1236741062807,42.221013401566054,12481600
2010-04-14,42.50006866455078,42.57145412256849,42.29889416530155,42.461132942408234,10501900
2010-04-15,42.513038635253906,42.53250649087397,42.266432594377925,42.37026775919584,8656900
2010-04-16,42.1950569152832,42.603901782395546,42.11069453770706,42.40272234181504,15742500
2010-04-19,42.85049057006836,42.89591721429712,42.221003534946284,42.221003534946284,14626300
2010-04-20,42.824546813964844,42.96082679449241,42.65582204824573,42.85050561279885,11916400
2010-04-21,42.4351692199707,42.81805526410428,42.22750380741598,42.81805526410428,13355700
2010-04-22,42.03929901123047,42.33781768090384,41.74727127708763,42.298881969986965,19583000
2010-04-23,42.208038330078125,42.208038330078125,41.747280824698265,41.993881968791435,11674900
2010-04-26,42.02633285522461,42.311869726969576,42.000374057586995,42.1755897527229,9281500
2010-04-27,41.714820861816406,42.10419281795568,41.669394216119045,41.903018380029216,11862200
2010-04-28,41.93546676635742,42.09121455361106,41.695351674694535,41.81216375291798,12476600
2010-04-29,42.18857192993164,42.40272334749391,42.08473673863587,42.08473673863587,7930100
2010-04-30,41.72780990600586,42.40271877206518,41.72780990600586,42.26643881154548,14255900
2010-05-03,42.3962287902832,42.584426323108694,41.883553776958635,42.28590763518554,15310500
2010-05-04,41.98739242553711,42.36378756675334,41.79919980606342,42.2275075917201,14895700
2010-05-05,42.272926330566406,42.37027056624902,41.818659832225514,41.90951313189369,13143700
2010-05-06,41.14375305175781,42.24697470702336,38.95677265030593,42.20803898659626,24410000
2010-05-07,41.085350036621094,41.273545142272056,40.293623988438775,41.05290029977374,20467100
2010-05-10,42.019832611083984,42.41569552289297,41.53311640323359,42.123667778636054,18445400
2010-05-11,41.96791458129883,42.24047446652646,41.64992804853326,41.68237777583175,10879000
2010-05-12,42.1171760559082,42.21452028588604,41.85110215737768,42.08472632887119,11036800
2010-05-13,41.96791458129883,42.28590606519764,41.8640843659835,42.0782357323005,12337000
